iter	Passed	Remaining
0	138	138735
1	139	69566
2	139	46488
3	140	34954
4	140	28030
5	141	23413
6	141	20114
7	142	17640
8	142	15716
9	143	14175
10	143	12914
11	144	11865
12	144	10977
13	145	10214
14	145	9553
15	145	8975
16	146	8465
17	147	8058
18	149	7693
19	149	7349
20	150	7036
21	151	6753
22	152	6493
23	153	6254
24	154	6027
25	155	5817
26	156	5623
27	156	5443
28	157	5276
29	158	5118
30	158	4967
31	159	4825
32	160	4692
33	160	4567
34	161	4448
35	161	4336
36	162	4229
37	163	4127
38	163	4028
39	163	3934
40	164	3845
41	164	3760
42	165	3679
43	165	3601
44	166	3527
45	166	3457
46	167	3389
47	167	3324
48	168	3262
49	168	3202
50	168	3144
51	169	3088
52	169	3035
53	170	2984
54	170	2935
55	171	2887
56	171	2841
57	172	2797
58	172	2754
59	173	2712
60	173	2671
61	174	2633
62	174	2595
63	174	2558
64	175	2523
65	175	2489
66	176	2455
67	176	2420
68	177	2388
69	177	2358
70	177	2328
71	178	2300
72	179	2273
73	179	2246
74	180	2220
75	180	2194
76	180	2169
77	181	2144
78	181	2120
79	182	2096
80	182	2073
81	183	2051
82	183	2029
83	184	2008
84	184	1985
85	184	1965
86	185	1944
87	185	1924
88	186	1905
89	186	1887
90	187	1869
91	187	1851
92	188	1833
93	188	1816
94	188	1799
95	189	1783
96	189	1767
97	190	1751
98	190	1736
99	191	1720
100	191	1706
101	191	1689
102	192	1675
103	192	1661
104	193	1647
105	193	1634
106	194	1620
107	194	1608
108	195	1595
109	195	1582
110	196	1570
111	196	1558
112	196	1546
113	197	1534
114	197	1522
115	198	1510
116	198	1499
117	199	1488
118	199	1477
119	199	1466
120	200	1456
121	200	1445
122	201	1434
123	201	1424
124	202	1414
125	202	1404
126	202	1394
127	203	1384
128	203	1375
129	204	1366
130	204	1357
131	205	1348
132	205	1339
133	206	1331
134	206	1322
135	206	1314
136	207	1306
137	207	1297
138	208	1289
139	208	1281
140	209	1274
141	209	1266
142	210	1258
143	210	1251
144	211	1244
145	211	1237
146	211	1229
147	212	1222
148	212	1215
149	213	1209
150	213	1202
151	214	1195
152	214	1188
153	215	1182
154	215	1175
155	216	1169
156	216	1163
157	217	1157
158	217	1152
159	218	1146
160	218	1140
161	219	1134
162	219	1128
163	220	1122
164	220	1117
165	221	1111
166	221	1106
167	222	1100
168	222	1095
169	223	1089
170	223	1085
171	224	1080
172	224	1074
173	225	1069
174	225	1064
175	226	1059
176	226	1054
177	227	1049
178	227	1044
179	228	1040
180	228	1034
181	229	1029
182	229	1026
183	230	1021
184	230	1017
185	231	1012
186	231	1008
187	232	1003
188	232	999
189	233	994
190	233	990
191	234	986
192	234	982
193	235	978
194	236	975
195	237	972
196	237	968
197	238	964
198	238	960
199	239	956
200	239	952
201	240	948
202	240	944
203	241	940
204	241	936
205	242	933
206	242	929
207	243	925
208	243	922
209	244	918
210	244	914
211	245	911
212	245	907
213	246	903
214	246	900
215	247	896
216	247	893
217	248	889
218	248	887
219	249	883
220	249	880
221	250	877
222	250	873
223	251	870
224	251	867
225	252	863
226	252	860
227	253	857
228	253	854
229	254	851
230	254	848
231	255	845
232	255	842
233	256	839
234	256	836
235	257	833
236	257	830
237	258	827
238	259	824
239	259	821
240	260	818
241	260	816
242	261	813
243	261	810
244	262	807
245	262	804
246	263	802
247	263	799
248	264	796
249	264	793
250	265	791
251	265	788
252	266	787
253	267	784
254	267	781
255	268	779
256	268	776
257	269	774
258	269	771
259	270	768
260	270	766
261	271	763
262	271	761
263	272	758
264	273	757
265	273	754
266	274	752
267	274	749
268	275	747
269	275	745
270	276	742
